序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,System,Stru_System,,...,不保持,私有,系统顶层聚合对象,,
,System.Input,Stru_SystemInput,,...,,,物理输入 (急停/复位/脚踏/安全门),,
,System.Input.bEstopActive,BOOL,,OFF,,,急停 (NC通常为0，此处为逻辑触发状态),,
,System.Input.bResetActive,BOOL,,OFF,,,复位按钮,,
,System.Input.bFootSwitchActive,BOOL,,OFF,,,脚踏,,
,System.Input.bPusherOrigin,BOOL,,OFF,,,电推杆原点传感器 (TRUE=在原点位置) 用于标定和回零逻辑,,
,System.Input.bSafetyDoorOpen,BOOL,,OFF,,,全门状态 (TRUE=门打开/不安全),,
,System.Input.bSafetyDoorActive,BOOL,,OFF,,,安全门功能开关 (TRUE=启用检测),,
,System.Input.bPad0,BOOL,,OFF,,,对齐填充 (保证结构体 WORD 对齐),,
,System.Input.bPad1,BOOL,,OFF,,,,,
,System.Cmd,Stru_SystemCmd,,...,,,系统指令 (HMI 写入),,
,System.Cmd.bTriggerEmergency,BOOL,,OFF,,,HMI 触发软急停 (如界面上的急停按钮),,
,System.Cmd.bHardStop,BOOL,,OFF,,,升级硬急停,,
,System.Cmd.bStop,BOOL,,OFF,,,通用停止 (软停止，减速停车),,
,System.Cmd.bAutoReq,BOOL,,OFF,,,自动模式请求,,
,System.Cmd.bServiceReq,BOOL,,OFF,,,手动模式请求,,
,System.Cmd.bHomingReq,BOOL,,OFF,,,回零请求,,
,System.Cmd.bResetReq,BOOL,,OFF,,,复位请求,,
,System.Cmd.bCalibReq,BOOL,,OFF,,,校准请求,,
,System.Cmd.bServiceDone,BOOL,,OFF,,,服务完成 → READY_CHECK(3),,
,System.Cmd.bReadyCheckReq,BOOL,,OFF,,,手动重新资格检查,,
,System.Cmd.bQuickStart,BOOL,,OFF,,,操作员快速启动 (需 bSkipSelfTestAllowed),,
,System.Cmd.bForceSkipSelfTest,BOOL,,OFF,,,管理员强制跳过自检 (需 bForceSkipSelfTestAllowed),,
,System.Cmd.bClearZeroRetain,BOOL,,OFF,,,清除建零 Retain,,
,System.Cmd.bAckError,BOOL,,OFF,,,确认报警,,
,System.Cmd.bLearnImpactBias,BOOL,,OFF,,,冲击轴扭矩基线学习请求,,
,System.Cmd.bRevalidateParams,BOOL,,OFF,,,HMI 请求重新校验参数,,
,System.Cmd.bAllPowerOn,BOOL,,OFF,,,全部上电/使能,,
,System.Cmd.bAllPowerOff,BOOL,,OFF,,,全部断电/去使能,,
,System.Cmd.bServiceAuthConfirm,BOOL,,OFF,,,"维护授权软件确认 (电平, 建零门禁条件之一)",,
,System.Cmd.bNoLoadConfirm,BOOL,,OFF,,," 无负载软件确认 (电平, 建零门禁条件之一)",,
,System.Cmd.bServiceMechHomeReq,BOOL,,OFF,,,"维护授权软件确认 (电平, 建零门禁条件之一)",,
,System.Cmd.bInitializeReq,BOOL,,OFF,,,开机初始化请求,,
,System.Cmd.bSelfTestConfirm,BOOL,,OFF,,,[V4.3] HMI 确认安全，开始动态自检,,
,System.Cmd.bSelfTestSkip,BOOL,,OFF,,,HMI 要求跳过动态自检,,
,System.Cmd.bSelfTestEngAuth,BOOL,,OFF,,,"自检工程师授权 (电平, 允许有限步骤跳过)",,
,System.Cmd.bResetDoneAck,BOOL,,OFF,,,"复位完成确认 (MODE_MANAGER→ERROR_MANAGER, 脉冲)",,
,System.Cmd.bStartSelfTest,BOOL,,OFF,,,,,
,System.Cmd.bHomingDoneAck,BOOL,,OFF,,,"普通回零完成确认 (MODE_MANAGER→ERROR_MANAGER, 脉冲)",,
,System.Status,Stru_SystemStatus,,...,,,系统状态 (只读),,
,System.Status.iState,INT,,0,,,"主状态机 (唯一写入 MODE_MANAGER)                                    // 0=INIT 3=READY_CHECK 5=SELFTEST 10=STANDBY",,
,System.Status.iPrevState,INT,,0,,,上一状态 (诊断/回退判断),,
,System.Status.diUpTime,DINT,,0,,,"本次开机累计运行时间 (ms), 断电清零",,
,System.Status.rTailDriftPulse,REAL,,0.000000,,,"电推杆开机偏移量 (pulse, ABS(HC实读 - Retain记录))",,
,System.Status.diReadyCheckResult,DINT,,0,,, 资格检查位掩码 (bit0=零点 bit1=参数 bit2=硬件 bit3=HC bit4=位置 bit5=参考),,
,System.Status.iHealthLevel,INT,,0,,,健康等级 (0=正常 1=建议校准 2=必须校准 3=故障),,
,System.Status.bAllAxesReferenced,BOOL,,OFF,,,全轴参考有效/回零语义成立,,
,System.Status.bAllAxesHomed,BOOL,,OFF,,,全轴已回零,,
,System.Status.bAllAxesAtInit,BOOL,,OFF,,,全轴在初始位,,
,System.Status.bAllAxesIdle,BOOL,,OFF,,,全轴空闲 (bBusy=FALSE),,
,System.Status.bAnyAxisFault,BOOL,,OFF,,,任意轴有故障,,
,System.Status.bAnyAxisAtLimit,BOOL,,OFF,,,轴处于限位,,
,System.Status.bAnyAxisBusy,BOOL,,OFF,,,任意轴运动中,,
,System.Status.bReady,BOOL,,OFF,,,系统就绪 (=bInitialized AND bAllAxesReferenced AND bPowerOn AND NOT bNeedReset),,
,System.Status.bSafeToStart,BOOL,,OFF,,,安全启动条件 (=NOT bEstopActive AND (NOT bSafetyDoorOpen OR NOT bSafetyDoorActive)),,
,System.Status.bAbsPositionValid,BOOL,,OFF,,,绝对位置可信 (P17: NOT bEncoderFault[all] AND NOT bPositionSuspected),,
,System.Status.bSensitiveRunning,BOOL,,OFF,,,敏感运行状态 (P10: 紧急回零/限位脱离窗口),,
,System.Status.bPositionSuspected,BOOL,,OFF,,,"位置疑似异常 (B 类复位后置位, 回零成功后清除)",,
,System.Status.bInitialized,BOOL,,OFF,,,"系统已初始化, TRUE=开机自检通过",,
,System.Status.bParamInitialized,BOOL,,OFF,,,"参数已加载, TRUE=断电保持参数已读取",,
,System.Status.bPowerOn,BOOL,,OFF,,,"全轴使能, TRUE=所有伺服轴已上电",,
,System.Status.bPoweringUp,BOOL,,OFF,,,"内部电源锁存HMI 显示""正在使能...""，防止重复发送指令",,
,System.Status.bNeedReset,BOOL,,OFF,,,"需要复位, TRUE=存在错误需复位后继续",,
,System.Status.bAllServoReady,BOOL,,OFF,,,[P1] 全伺服就绪 (MONITOR: 3轴 bReady 全为TRUE),,
,System.Status.bTailSensorAtBoot,BOOL,,OFF,,,开机时原点传感器状态 (静态读取),,
,System.Status.bHealthCheckSkipped,BOOL,,OFF,,,跳过了健康自检 (Quick Start / 强制跳过 / SELFTEST内部管理员跳过),,
,System.Status.bSelfTestDone,BOOL,,OFF,,,动态自检已完成,,
,System.Status.bParamValid,BOOL,,OFF,,,参数校验通过 (原 TASK_INIT 局部变量提升),,
,System.Status.bHcValid,BOOL,,OFF,,,HC 可用 (原 MONITOR 局部变量提升),,
,System.Status.bSkipSelfTestAllowed,BOOL,,OFF,,,操作员快速启动资格 (MONITOR 每扫计算),,
,System.Status.bForceSkipSelfTestAllowed,BOOL,,OFF,,,管理员强制跳过资格 (MONITOR 每扫计算),,
,System.Error,Stru_SystemError,,...,,,6. 报警,,
,System.Error.iLevel,INT,,0,,,"错误等级 (0=Info 1=Warning 2=Critical)// 2=L2 Severe (执行级, 暂停流程)// 3=L3 Warning",,
,System.Error.iCode,INT,,0,,,"主错误码 (按 CONST_Definitions, 当前覆盖 1xxx~6xxx)",,
,System.Error.iSource,INT,,0,,,"错误来源 (0=系统, 1=冲击, 2=角度, 3=扭角, 4=推杆)",,
,System.Error.iSubCode,INT,,0,,,原始/子错误码 (用于追溯),,
,System.Error.iVal1,INT,,0,,,附加参数1 (如轴ID),,
,System.Error.iVal2,INT,,0,,,附加参数2 (保留),,
,System.Error.iPriority,REAL,,0.000000,,,当前活动错误的仲裁权重 (ERROR_MANAGER 写入),,
,System.Error.iReserved1,BOOL,,OFF,,,,,
,System.Error.bActive,BOOL,,OFF,,,是否有激活的报警,,
,System.Error.bCritical,BOOL,,OFF,,,L2 致命 (触发 SAFETY_MANAGER 急停路径),,
,System.Error.bEscalated,BOOL,,OFF,,,是否经过升级(软急停->硬急停),,
,System.Error.bNeedReset,BOOL,,OFF,,,升级标志 (低级别因未处理而升级),,
,System.Error.bPad0,BOOL,,OFF,,,任意轴有故障 (快照),,
,System.Error.bPad1,INT,,0,,,预留,,
,System.Error.bPad2,BOOL,,OFF,,,,,
,System.Error.bPad3,BOOL,,OFF,,,,,
,System.Param,Stru_SystemParam,,...,,,系统参数 (含 HomingParams),,
,System.Param.HomingParams,Stru_HomingParams,,...,,,键回零/归位参数,,
,System.Param.HomingParams.rLimitEscapeVel,REAL,,0.000000,,,脱限Jog 速度 (≤MaxVel*10%),,
,System.Param.HomingParams.rChestJogVel,REAL,,0.000000,,,胸轴主 Jog 速度 (°/s),,
,System.Param.HomingParams.rLegJogVel,REAL,,0.000000,,,腿轴主 Jog 速度 (°/s),,
,System.Param.HomingParams.rSeatJogVel,REAL,,0.000000,,,座轴主 Jog 速度 (°/s),,
,System.Param.HomingParams.rChestCrawlVel,REAL,,0.000000,,,胸轴微调 Jog 速度 (°/s),,
,System.Param.HomingParams.rLegCrawlVel,REAL,,0.000000,,,腿轴微调 Jog 速度 (°/s),,
,System.Param.HomingParams.rSeatCrawlVel,REAL,,0.000000,,,座轴微调 Jog 速度 (°/s),,
,System.Param.HomingParams.rChestApproachZone,REAL,,0.000000,,,胸轴接近区距离 (°),,
,System.Param.HomingParams.rLegApproachZone,REAL,,0.000000,,,腿轴接近区距离 (°),,
,System.Param.HomingParams.rSeatApproachZone,REAL,,0.000000,,,座轴接近区距离 (°),,
,System.Param.HomingParams.rChestHysteresis,REAL,,0.000000,,,胸轴迟滞窗口 (°),,
,System.Param.HomingParams.rLegHysteresis,REAL,,0.000000,,,腿轴迟滞窗口 (°),,
,System.Param.HomingParams.rSeatHysteresis,REAL,,0.000000,,, 座轴迟滞窗口 (°),,
,System.Param.HomingParams.rChestJogAcc,REAL,,0.000000,,,胸轴 Jog 加速度 (°/s2),,
,System.Param.HomingParams.rLegJogAcc,REAL,,0.000000,,,腿轴 Jog 加速度 (°/s2),,
,System.Param.HomingParams.rSeatJogAcc,REAL,,0.000000,,, 座轴 Jog 加速度 (°/s2),,
,System.Param.HomingParams.rAntiPinchTorqueLimit,REAL,,0.000000,,,扭矩防夹阈值 (% 额定),,
,System.Param.HomingParams.diHomingTimeout,DINT,,0,,, 普通回零全流程超时 (ms),,
,System.Param.HomingParams.diEmergencyTimeout,DINT,,0,,,"紧急回零单轴超时 (ms, 默认 20000)",,
,System.Param.HomingParams.diLimitEscapeTimeout,DINT,,0,,,"脱限位超时 (ms, 默认 5000)",,
,System.Param.HomingParams.diStopReleaseTimeout,DINT,,0,,,"MC_Stop 释放等待 (ms, 风险 R1 需实测)",,
,System.Param.HomingParams.diEmergencyCoastMs,DINT,,0,,, 接近区松手后的滑行等待 (ms),,
,System.Param.HomingParams.diEmergencyStallTimeout,DINT,,0,,, Jog 有命令但几乎无速度的判定窗口 (ms),,
,System.Param.HomingParams.iHomingMode,INT,,0,,,普通回零执行模式 (0=并行 1=顺序),,
,System.Param.HomingParams.iMaxRetry,INT,,0,,,紧急回零最大复位重试次数 (默认 2),,
,System.Param.HomingParams.bEmergencyAllowCalib,BOOL,,OFF,,,紧急回零时允许电推杆校准 (FALSE=降级),,
,System.Param.HomingParams.bPad0,BOOL,,OFF,,,,,
,System.Param.rForcePerPct,REAL,,0.000000,,,"冲击力换算系数 (N/%, 取决于电机+减速比+丝杆导程)",,
,System.Param.rForceLimitN,REAL,,0.000000,,,"超力保护阈值 (N, <=0 禁用)    rForceDeadbandPct   : REAL;     // 净扭矩死区 (%)",,
,System.Param.rForceDeadbandPct,REAL,,0.000000,,,净扭矩死区,,
,System.Param.rForceStandstillVel,REAL,,0.000000,,,静止速度阈值,,
,System.Param.rForceFilterAlpha,REAL,,0.000000,,,一阶低通系数,,
,System.Param.diSoftStopTime,DINT,,0,,,软急停减速时间 (ms),,
,System.Param.diStopTimeout,DINT,,0,,,停止超时 (ms),,
,System.Param.diResetTimeout,DINT,,0,,, 复位超时 (ms),,
,System.Param.diPowerOnDelay,DINT,,0,,,"分时上电等待 (ms, SBR_POWER 使用)",,
,System.Param.diOverForceMs,DINT,,0,,,超力持续判定时间,,
,System.Param.iWorkMode,INT,,0,,,"业务模式: 1=调理, 2=治疗, 3=老化测试",,
,System.Param.iEstopMode,INT,,0,,,急停模式 (0=硬急停直接断电 1=软急停减速),,
,System.Param.iUserRole,INT,,0,,,"用户角色 (0=ROLE_OPERATOR 1=ROLE_ENGINEER, HMI设置)",,
,System.Param.iAuthCode,INT,,0,,,"权限校验码 (HMI 登录写 16#5A, 退出写 0, 防误写保护)",,
,System.Diag,Stru_SystemDiag,,...,,,,,
,System.Diag.iAssertCode,INT,,0,,,开发断言,,
,System.Diag.iLastErrorCode,INT,,0,,,上次错误,,
,System.Diag.iLastErrorSource,INT,,0,,,上次错误来源,,
,System.Diag.iScanCount,INT,,0,,,扫描周期计数,,
,System.Diag.bLastShutdownClean,BOOL,,OFF,,,"次正常关机 (Retain, SBR_POWER 写入)",,
,System.Diag.bParamChangedSinceSelfTest,BOOL,,OFF,,," 参数变化脏标记 (SBR_PARAM_SERVICE 置位, SELFTEST Step100 清零)",,
,System.Diag.bServiceMotionSinceSelfTest,BOOL,,OFF,,,"服务动作脏标记 (SBR_TASK_SERVICE 置位, SELFTEST Step100 清零)",,
,System.Diag.bReferenceChangedSinceSelfTest,BOOL,,OFF,,,"参考变化脏标记 (SBR_OUTPUT_ADAPTER 置位, SELFTEST Step100 清零)",,
,System.Diag.bFaultOccurredSinceSelfTest,BOOL,,OFF,,,"故障发生脏标记 (SBR_ERROR_MANAGER 置位, SELFTEST Step100 清零)",,
,System.Diag.bPad0,BOOL,,OFF,,,,,
,System.HomingParamsCmd,Stru_ConfigCmd,,...,,,,,
,System.HomingParamsCmd.iErrorCode,INT,,0,,,操作错误,,
,System.HomingParamsCmd.bLoad,BOOL,,OFF,,,"加载, 从运行区读到缓冲区",,
,System.HomingParamsCmd.bApply,BOOL,,OFF,,,"应用, 缓冲区覆盖运行区",,
,System.HomingParamsCmd.bSave,BOOL,,OFF,,,"保存, 运行区写入 Retain",,
,System.HomingParamsCmd.bResetDefault,BOOL,,OFF,,,恢复工厂默认 (统一命名),,
,System.HomingParamsCmd.bSuccess,BOOL,,OFF,,,操作成功,,
,System.HomingParamsCmd.bError,BOOL,,OFF,,,操作失败 (只读),,
,System.HomingParamsCmd.bPad0,BOOL,,OFF,,,加载默认值,,
,System.HomingParamsCmd.bPad1,BOOL,,OFF,,,对齐填充,,
,System.HomingParamsBuffer,Stru_HomingParams,,...,,,,,
,System.HomingParamsBuffer.rLimitEscapeVel,REAL,,0.000000,,,脱限Jog 速度 (≤MaxVel*10%),,
,System.HomingParamsBuffer.rChestJogVel,REAL,,0.000000,,,胸轴主 Jog 速度 (°/s),,
,System.HomingParamsBuffer.rLegJogVel,REAL,,0.000000,,,腿轴主 Jog 速度 (°/s),,
,System.HomingParamsBuffer.rSeatJogVel,REAL,,0.000000,,,座轴主 Jog 速度 (°/s),,
,System.HomingParamsBuffer.rChestCrawlVel,REAL,,0.000000,,,胸轴微调 Jog 速度 (°/s),,
,System.HomingParamsBuffer.rLegCrawlVel,REAL,,0.000000,,,腿轴微调 Jog 速度 (°/s),,
,System.HomingParamsBuffer.rSeatCrawlVel,REAL,,0.000000,,,座轴微调 Jog 速度 (°/s),,
,System.HomingParamsBuffer.rChestApproachZone,REAL,,0.000000,,,胸轴接近区距离 (°),,
,System.HomingParamsBuffer.rLegApproachZone,REAL,,0.000000,,,腿轴接近区距离 (°),,
,System.HomingParamsBuffer.rSeatApproachZone,REAL,,0.000000,,,座轴接近区距离 (°),,
,System.HomingParamsBuffer.rChestHysteresis,REAL,,0.000000,,,胸轴迟滞窗口 (°),,
,System.HomingParamsBuffer.rLegHysteresis,REAL,,0.000000,,,腿轴迟滞窗口 (°),,
,System.HomingParamsBuffer.rSeatHysteresis,REAL,,0.000000,,, 座轴迟滞窗口 (°),,
,System.HomingParamsBuffer.rChestJogAcc,REAL,,0.000000,,,胸轴 Jog 加速度 (°/s2),,
,System.HomingParamsBuffer.rLegJogAcc,REAL,,0.000000,,,腿轴 Jog 加速度 (°/s2),,
,System.HomingParamsBuffer.rSeatJogAcc,REAL,,0.000000,,, 座轴 Jog 加速度 (°/s2),,
,System.HomingParamsBuffer.rAntiPinchTorqueLimit,REAL,,0.000000,,,扭矩防夹阈值 (% 额定),,
,System.HomingParamsBuffer.diHomingTimeout,DINT,,0,,, 普通回零全流程超时 (ms),,
,System.HomingParamsBuffer.diEmergencyTimeout,DINT,,0,,,"紧急回零单轴超时 (ms, 默认 20000)",,
,System.HomingParamsBuffer.diLimitEscapeTimeout,DINT,,0,,,"脱限位超时 (ms, 默认 5000)",,
,System.HomingParamsBuffer.diStopReleaseTimeout,DINT,,0,,,"MC_Stop 释放等待 (ms, 风险 R1 需实测)",,
,System.HomingParamsBuffer.diEmergencyCoastMs,DINT,,0,,, 接近区松手后的滑行等待 (ms),,
,System.HomingParamsBuffer.diEmergencyStallTimeout,DINT,,0,,, Jog 有命令但几乎无速度的判定窗口 (ms),,
,System.HomingParamsBuffer.iHomingMode,INT,,0,,,普通回零执行模式 (0=并行 1=顺序),,
,System.HomingParamsBuffer.iMaxRetry,INT,,0,,,紧急回零最大复位重试次数 (默认 2),,
,System.HomingParamsBuffer.bEmergencyAllowCalib,BOOL,,OFF,,,紧急回零时允许电推杆校准 (FALSE=降级),,
,System.HomingParamsBuffer.bPad0,BOOL,,OFF,,,,,
2,ChestImpact,Stru_AxisObject,,...,不保持,私有,胸冲击轴,,
,ChestImpact.Status,Stru_AxisStatus,,...,,,"轴状态 (只读, 实时反馈)",,
,ChestImpact.Status.Servo,Stru_ServoAxisStatus,,...,,,MC 底层反馈,,
,ChestImpact.Status.Servo.rActPosition,REAL,,0.000000,,,实际位置 (脉冲或mm,,
,ChestImpact.Status.Servo.rActVelocity,REAL,,0.000000,,,实际速度,,
,ChestImpact.Status.Servo.rActTorque,REAL,,0.000000,,,实际扭矩,,
,ChestImpact.Status.Servo.iErrorCode,INT,,0,,,错误码 (来自 FB_运动控制),,
,ChestImpact.Status.Servo.iDriveErrorCode,INT,,0,,, 驱动器错误码 (来自伺服),,
,ChestImpact.Status.Servo.diDiscreteMotionTime,DINT,,0,,,定位运动时间 (ms),,
,ChestImpact.Status.Servo.bEnabled,BOOL,,OFF,,,已使能 (驱动器上电),,
,ChestImpact.Status.Servo.bReady,BOOL,,OFF,,,驱动就绪,,
,ChestImpact.Status.Servo.bBusy,BOOL,,OFF,,,运动中 (任意运动指令执行中),,
,ChestImpact.Status.Servo.bDone,BOOL,,OFF,,,动作完成 (上升沿),,
,ChestImpact.Status.Servo.bStandStill,BOOL,,OFF,,,静止 (速度为零),,
,ChestImpact.Status.Servo.bInPosition,BOOL,,OFF,,,到位 (位置误差在容差内),,
,ChestImpact.Status.Servo.bDiscreteMotion,BOOL,,OFF,,,定位运动中,,
,ChestImpact.Status.Servo.bMoveDone,BOOL,,OFF,,,运动完成 (脉冲),,
,ChestImpact.Status.Servo.bZeroCommissioned,BOOL,,OFF,,,"底层 home-state 镜像 (= Axis.bhomestate, 非持久建零标志)",,
,ChestImpact.Status.Servo.bZeroCommissioning,BOOL,,OFF,,,正在原点标定 (运行期通常不触发),,
,ChestImpact.Status.Servo.bOriginSwitch,BOOL,,OFF,,,原点传感器信号 (物理输入),,
,ChestImpact.Status.Servo.bPosLimit,BOOL,,OFF,,,正限位触发,,
,ChestImpact.Status.Servo.bNegLimit,BOOL,,OFF,,,负限位触发,,
,ChestImpact.Status.Servo.bError,BOOL,,OFF,,,错误激活,,
,ChestImpact.Status.Servo.bStopping,BOOL,,OFF,,,错误停止中,,
,ChestImpact.Status.Servo.bEncoderFault,BOOL,,OFF,,,编码器故障 (MONITOR 用于计算 bAbsPositionValid),,
,ChestImpact.Status.Servo.pad0,BOOL,,OFF,,,,,
,ChestImpact.Status.Servo.pad1,BOOL,,OFF,,,,,
,ChestImpact.Status.Servo.pad2,BOOL,,OFF,,,,,
,ChestImpact.Status.Servo.bPad3,BOOL,,OFF,,,,,
,ChestImpact.Status.Force,Stru_AxisForceStatus,,...,,,力估算与超力状态,,
,ChestImpact.Status.Force.rBiasPosPct,REAL,,0.000000,,,正扭矩侧静止基线 (%),,
,ChestImpact.Status.Force.rBiasNegPct,REAL,,0.000000,,,负扭矩侧静止基线 (%),,
,ChestImpact.Status.Force.rNetTorquePct,REAL,,0.000000,,,扣基线后的净扭矩 (%),,
,ChestImpact.Status.Force.rForceRawN,REAL,,0.000000,,,未滤波牵引力估算 (N),,
,ChestImpact.Status.Force.rForceFiltN,REAL,,0.000000,,,低通后牵引力估算 (N),,
,ChestImpact.Status.Force.diOverForceET,DINT,,0,,,超力持续时间 (ms),,
,ChestImpact.Status.Force.bForceValid,BOOL,,OFF,,,当前力估算有效,,
,ChestImpact.Status.Force.bBiasPosValid,BOOL,,OFF,,,正侧基线已学习,,
,ChestImpact.Status.Force.bBiasNegValid,BOOL,,OFF,,,负侧基线已学习,,
,ChestImpact.Status.Force.bOverForce,BOOL,,OFF,,,超力实时态,,
,ChestImpact.Status.Force.bOverForceLatched,BOOL,,OFF,,,超力锁存,,
,ChestImpact.Status.Force.bPad0,BOOL,,OFF,,,对齐填充,,
,ChestImpact.Status.iCurrentStep,INT,,0,,,"当前运动步骤 (0=空闲, 1-N=执行中)",,
,ChestImpact.Status.iPadInt,INT,,0,,,对齐填充,,
,ChestImpact.Status.diWaitingTime,DINT,,0,,,等待时间 (ms),,
,ChestImpact.Status.diMotionTime,DINT,,0,,,运动用时 (ms),,
,ChestImpact.Status.iErrorCode,INT,,0,,,[镜像] = Servo.iErrorCode (HMI 使用),,
,ChestImpact.Status.bCalibrated,BOOL,,OFF,,,已标定 (Servo 没有此状态),,
,ChestImpact.Status.bError,BOOL,,OFF,,,,,
,ChestImpact.Status.bWarning,BOOL,,OFF,,,警告激活 (区别于 Servo.bError),,
,ChestImpact.Status.bAxisErrorStopping,BOOL,,OFF,,,轴错误停止中 (区别于 Servo.bStopping),,
,ChestImpact.Status.bAtInit,BOOL,,OFF,,,在初始位置容差内,,
,ChestImpact.Status.bPad0,BOOL,,OFF,,,,,
,ChestImpact.Config,Stru_AxisLimitConfig,,...,,,"轴配置 (出厂设定, Retain)",,
,ChestImpact.Config.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,ChestImpact.Config.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,ChestImpact.Config.rInitPos,REAL,,0.000000,,,初始位置,,
,ChestImpact.Config.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,ChestImpact.Config.rMaxVel,REAL,,0.000000,,,最大速度,,
,ChestImpact.Config.rMinVel,REAL,,0.000000,,,最小速度,,
,ChestImpact.Config.rMaxAcc,REAL,,0.000000,,,加速度,,
,ChestImpact.Config.rMaxDec,REAL,,0.000000,,,减速度,,
,ChestImpact.Config.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,ChestImpact.Config.diTimeout,DINT,,0,,,超时报警,,
,ChestImpact.ConfigBuffer,Stru_AxisLimitConfig,,...,,,,,
,ChestImpact.ConfigBuffer.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,ChestImpact.ConfigBuffer.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,ChestImpact.ConfigBuffer.rInitPos,REAL,,0.000000,,,初始位置,,
,ChestImpact.ConfigBuffer.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,ChestImpact.ConfigBuffer.rMaxVel,REAL,,0.000000,,,最大速度,,
,ChestImpact.ConfigBuffer.rMinVel,REAL,,0.000000,,,最小速度,,
,ChestImpact.ConfigBuffer.rMaxAcc,REAL,,0.000000,,,加速度,,
,ChestImpact.ConfigBuffer.rMaxDec,REAL,,0.000000,,,减速度,,
,ChestImpact.ConfigBuffer.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,ChestImpact.ConfigBuffer.diTimeout,DINT,,0,,,超时报警,,
,ChestImpact.ConfigCmd,Stru_ConfigCmd,,...,,, 配置操作指令,,
,ChestImpact.ConfigCmd.iErrorCode,INT,,0,,,操作错误,,
,ChestImpact.ConfigCmd.bLoad,BOOL,,OFF,,,"加载, 从运行区读到缓冲区",,
,ChestImpact.ConfigCmd.bApply,BOOL,,OFF,,,"应用, 缓冲区覆盖运行区",,
,ChestImpact.ConfigCmd.bSave,BOOL,,OFF,,,"保存, 运行区写入 Retain",,
,ChestImpact.ConfigCmd.bResetDefault,BOOL,,OFF,,,恢复工厂默认 (统一命名),,
,ChestImpact.ConfigCmd.bSuccess,BOOL,,OFF,,,操作成功,,
,ChestImpact.ConfigCmd.bError,BOOL,,OFF,,,操作失败 (只读),,
,ChestImpact.ConfigCmd.bPad0,BOOL,,OFF,,,加载默认值,,
,ChestImpact.ConfigCmd.bPad1,BOOL,,OFF,,,对齐填充,,
,ChestImpact.Cmd,Stru_AxisCmd,,...,,,,,
,ChestImpact.Cmd.bEnable,BOOL,,OFF,,,"使能, 触发伺服上电",,
,ChestImpact.Cmd.bReset,BOOL,,OFF,,,"复位, 清除轴错误",,
,ChestImpact.Cmd.bZeroCommission,BOOL,,OFF,,,"原点标定 (仅工厂模式, 触发 MC_Home, 运行期禁止)",,
,ChestImpact.Cmd.bStop,BOOL,,OFF,,,"停止, 立即减速停车",,
,ChestImpact.Cmd.bMoveAbs,BOOL,,OFF,,,"绝对定位, 移动到 rTargetPo",,
,ChestImpact.Cmd.bMoveRel,BOOL,,OFF,,,"相对定位, 移动 rTargetPos 距离",,
,ChestImpact.Cmd.bJogPos,BOOL,,OFF,,,"正向点动, 按住持续动作",,
,ChestImpact.Cmd.bJogNeg,BOOL,,OFF,,,"负向点动, 按住持续动作",,
,ChestImpact.Cmd.bAutoMove,BOOL,,OFF,,,,,
,ChestImpact.Cmd.bMoveBuffer,BOOL,,OFF,,,,,
,ChestImpact.Cmd.bRequestDisable,BOOL,,OFF,,, 请求断使能 (EMERGENCY_HOME 降级复位流程),,
,ChestImpact.Cmd.bPad0,BOOL,,OFF,,,,,
,ChestImpact.Cmd.pad1,BOOL,,OFF,,,,,
,ChestImpact.Cmd.pad2,BOOL,,OFF,,,,,
,ChestImpact.Cmd.pad3,BOOL,,OFF,,,,,
,ChestImpact.Cmd.pad4,BOOL,,OFF,,,,,
,ChestImpact.Motion,Stru_AxisMotionParam,,...,,,运动参数 (每次运动可变),,
,ChestImpact.Motion.rTargetPos,REAL,,0.000000,,,目标位置,,
,ChestImpact.Motion.rTargetVel,REAL,,0.000000,,,目标速度,,
,ChestImpact.Motion.rJogVel,REAL,,0.000000,,,点动速度,,
,ChestImpact.Motion.rAcc,REAL,,0.000000,,,加速度,,
,ChestImpact.Motion.rDec,REAL,,0.000000,,,减速度,,
,ChestImpact.Motion.rInitPos,REAL,,0.000000,,,初始位置,,
,ChestImpact.Motion.diTimeout,DINT,,0,,,,,
,ChestImpact.Motion.rReserved,REAL,,0.000000,,,,,
,ChestImpact.ReciprocalStatus,Stru_ReciprocationStatus,,...,,,往复运动状态,,
,ChestImpact.ReciprocalStatus.adMotionDuration,DINT[16],,...,,,记录一个循环周期各动作用时。最大记录5段 每两位为一组，低位为阶段1 高位为阶段2,,
,ChestImpact.ReciprocalStatus.adMotionDuration[0],DINT,,0,,,,,
,ChestImpact.ReciprocalStatus.adMotionDuration[1],DINT,,0,,,,,
,ChestImpact.ReciprocalStatus.adMotionDuration[2],DINT,,0,,,,,
,ChestImpact.ReciprocalStatus.adMotionDuration[3],DINT,,0,,,,,
