序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,HMI_Raw.ChestImpact.Motion.rTargetVel,REAL,,0.000000,,,目标速度,,
,HMI_Raw.ChestImpact.Motion.rJogVel,REAL,,0.000000,,,点动速度,,
,HMI_Raw.ChestImpact.Motion.rAcc,REAL,,0.000000,,,加速度,,
,HMI_Raw.ChestImpact.Motion.rDec,REAL,,0.000000,,,减速度,,
,HMI_Raw.ChestImpact.Motion.rInitPos,REAL,,0.000000,,,初始位置,,
,HMI_Raw.ChestImpact.Motion.diTimeout,DINT,,0,,,,,
,HMI_Raw.ChestImpact.Motion.rReserved,REAL,,0.000000,,,,,
,HMI_Raw.ChestImpact.Config,Stru_AxisLimitConfig,,...,,,,,
,HMI_Raw.ChestImpact.Config.rPosLimit,REAL,,0.000000,,,正限位 (°或mm),,
,HMI_Raw.ChestImpact.Config.rNegLimit,REAL,,0.000000,,,负限位 (°或mm),,
,HMI_Raw.ChestImpact.Config.rInitPos,REAL,,0.000000,,,初始位置,,
,HMI_Raw.ChestImpact.Config.rTolerance,REAL,,0.000000,,,到位容差 (°或mm),,
,HMI_Raw.ChestImpact.Config.rMaxVel,REAL,,0.000000,,,最大速度,,
,HMI_Raw.ChestImpact.Config.rMinVel,REAL,,0.000000,,,最小速度,,
,HMI_Raw.ChestImpact.Config.rMaxAcc,REAL,,0.000000,,,加速度,,
,HMI_Raw.ChestImpact.Config.rMaxDec,REAL,,0.000000,,,减速度,,
,HMI_Raw.ChestImpact.Config.diPulsePerDeg,DINT,,0,,,脉冲当量 (Pulse/°),,
,HMI_Raw.ChestImpact.Config.diTimeout,DINT,,0,,,超时报警,,
,HMI_Raw.ChestImpact.ConfigCmd,Stru_ConfigCmd,,...,,,,,
,HMI_Raw.ChestImpact.ConfigCmd.iErrorCode,INT,,0,,,操作错误,,
,HMI_Raw.ChestImpact.ConfigCmd.bLoad,BOOL,,OFF,,,"加载, 从运行区读到缓冲区",,
,HMI_Raw.ChestImpact.ConfigCmd.bApply,BOOL,,OFF,,,"应用, 缓冲区覆盖运行区",,
,HMI_Raw.ChestImpact.ConfigCmd.bSave,BOOL,,OFF,,,"保存, 运行区写入 Retain",,
,HMI_Raw.ChestImpact.ConfigCmd.bResetDefault,BOOL,,OFF,,,恢复工厂默认 (统一命名),,
,HMI_Raw.ChestImpact.ConfigCmd.bSuccess,BOOL,,OFF,,,操作成功,,
,HMI_Raw.ChestImpact.ConfigCmd.bError,BOOL,,OFF,,,操作失败 (只读),,
,HMI_Raw.ChestImpact.ConfigCmd.bPad0,BOOL,,OFF,,,加载默认值,,
,HMI_Raw.ChestImpact.ConfigCmd.bPad1,BOOL,,OFF,,,对齐填充,,
,HMI_Raw.SeatTwist,Stru_HMI_Axis,,...,,,扭角,,
,HMI_Raw.SeatTwist.Status,Stru_AxisStatus,,...,,,,,
,HMI_Raw.SeatTwist.Status.Servo,Stru_ServoAxisStatus,,...,,,MC 底层反馈,,
,HMI_Raw.SeatTwist.Status.Servo.rActPosition,REAL,,0.000000,,,实际位置 (脉冲或mm,,
,HMI_Raw.SeatTwist.Status.Servo.rActVelocity,REAL,,0.000000,,,实际速度,,
,HMI_Raw.SeatTwist.Status.Servo.rActTorque,REAL,,0.000000,,,实际扭矩,,
,HMI_Raw.SeatTwist.Status.Servo.iErrorCode,INT,,0,,,错误码 (来自 FB_运动控制),,
,HMI_Raw.SeatTwist.Status.Servo.iDriveErrorCode,INT,,0,,, 驱动器错误码 (来自伺服),,
,HMI_Raw.SeatTwist.Status.Servo.diDiscreteMotionTime,DINT,,0,,,定位运动时间 (ms),,
,HMI_Raw.SeatTwist.Status.Servo.bEnabled,BOOL,,OFF,,,已使能 (驱动器上电),,
,HMI_Raw.SeatTwist.Status.Servo.bReady,BOOL,,OFF,,,驱动就绪,,
,HMI_Raw.SeatTwist.Status.Servo.bBusy,BOOL,,OFF,,,运动中 (任意运动指令执行中),,
,HMI_Raw.SeatTwist.Status.Servo.bDone,BOOL,,OFF,,,动作完成 (上升沿),,
,HMI_Raw.SeatTwist.Status.Servo.bStandStill,BOOL,,OFF,,,静止 (速度为零),,
,HMI_Raw.SeatTwist.Status.Servo.bInPosition,BOOL,,OFF,,,到位 (位置误差在容差内),,
,HMI_Raw.SeatTwist.Status.Servo.bDiscreteMotion,BOOL,,OFF,,,定位运动中,,
,HMI_Raw.SeatTwist.Status.Servo.bMoveDone,BOOL,,OFF,,,运动完成 (脉冲),,
,HMI_Raw.SeatTwist.Status.Servo.bZeroCommissioned,BOOL,,OFF,,,"底层 home-state 镜像 (= Axis.bhomestate, 非持久建零标志)",,
,HMI_Raw.SeatTwist.Status.Servo.bZeroCommissioning,BOOL,,OFF,,,正在原点标定 (运行期通常不触发),,
,HMI_Raw.SeatTwist.Status.Servo.bOriginSwitch,BOOL,,OFF,,,原点传感器信号 (物理输入),,
,HMI_Raw.SeatTwist.Status.Servo.bPosLimit,BOOL,,OFF,,,正限位触发,,
,HMI_Raw.SeatTwist.Status.Servo.bNegLimit,BOOL,,OFF,,,负限位触发,,
,HMI_Raw.SeatTwist.Status.Servo.bError,BOOL,,OFF,,,错误激活,,
,HMI_Raw.SeatTwist.Status.Servo.bStopping,BOOL,,OFF,,,错误停止中,,
