序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
1,I_A相,BOOL,,OFF,不保持,私有,,X0,
2,I_B相,BOOL,,OFF,不保持,私有,,X1,
3,IN_臀板电机原点,BOOL,,OFF,不保持,私有,,X2,
4,IN_X3,BOOL,,OFF,不保持,私有,,X3,
5,I_Estop_Raw,BOOL,,OFF,不保持,私有,急停按钮,X7,
6,I_Reset_Raw,BOOL,,OFF,不保持,私有,重置按钮,X5,
7,I_Footer_Signal,BOOL,,OFF,不保持,私有,外接脚踏开关等开关量,X6,
8,I_SafetyDoor_Raw,BOOL,,OFF,不保持,私有,安全门,X4,
9,尾板AD模拟值,INT,,0,不保持,私有,模拟扩展输入模块0,,
10,I_Pusher_Origin,BOOL,,OFF,不保持,私有,,X10,
11,Q_Pusher_Up,BOOL,,OFF,不保持,私有,,Y6,
12,Q_Pusher_Down,BOOL,,OFF,不保持,私有,,Y7,
