序号,成员变量名,数据类型,注释,
,HomingParamsCmd.bPad0,BOOL,,
,HomingParamsCmd.bPad1,BOOL,,
8,HomingParamsBuffer,Stru_HomingParams,,
,HomingParamsBuffer.rLimitEscapeVel,REAL,,
,HomingParamsBuffer.rChestJogVel,REAL,,
,HomingParamsBuffer.rLegJogVel,REAL,,
,HomingParamsBuffer.rSeatJogVel,REAL,,
,HomingParamsBuffer.rChestCrawlVel,REAL,,
,HomingParamsBuffer.rLegCrawlVel,REAL,,
,HomingParamsBuffer.rSeatCrawlVel,REAL,,
,HomingParamsBuffer.rChestApproachZone,REAL,,
,HomingParamsBuffer.rLegApproachZone,REAL,,
,HomingParamsBuffer.rSeatApproachZone,REAL,,
,HomingParamsBuffer.rChestHysteresis,REAL,,
,HomingParamsBuffer.rLegHysteresis,REAL,,
,HomingParamsBuffer.rSeatHysteresis,REAL,,
,HomingParamsBuffer.rChestJogAcc,REAL,,
,HomingParamsBuffer.rLegJogAcc,REAL,,
,HomingParamsBuffer.rSeatJogAcc,REAL,,
,HomingParamsBuffer.rAntiPinchTorqueLimit,REAL,,
,HomingParamsBuffer.diHomingTimeout,DINT,,
,HomingParamsBuffer.diEmergencyTimeout,DINT,,
,HomingParamsBuffer.diLimitEscapeTimeout,DINT,,
,HomingParamsBuffer.diStopReleaseTimeout,DINT,,
,HomingParamsBuffer.diEmergencyCoastMs,DINT,,
,HomingParamsBuffer.diEmergencyStallTimeout,DINT,,
,HomingParamsBuffer.iHomingMode,INT,,
,HomingParamsBuffer.iMaxRetry,INT,,
,HomingParamsBuffer.bEmergencyAllowCalib,BOOL,,
,HomingParamsBuffer.bPad0,BOOL,,
