序号,成员变量名,数据类型,注释,
1,iPhase,INT,当前执行阶段 (0/10/20/.../100=完成/900=中止/999=错误),
2,iBlockReason,INT,"阻塞原因 (P14: HMI 显示""卡在哪步"", 0=无阻塞)                                    // 1=等待使能 2=等待停稳 3=等待到位 4=等待传感器                          ",
3,bDone,BOOL,正常完成,
4,bError,BOOL,异常终止 (提交 FaultReq 后置位),
5,bAborted,BOOL,被外部中止 (急停/模式切换导致的非正常退出),
6,bBusy,BOOL,任务执行中,
