序号,成员变量名,数据类型,注释,
1,iCycleCount,INT,已完成全局循环计数,
2,iErrorCode,INT,错误,
3,iIssuedSignalSeq,INT,当前已下发的统一信号序号,
4,iBlockedAxis,INT,"当前阻塞同步的轴 (0/1/2, -1=无)",
5,iSyncStage,INT,0=idle 1=ready 2=ack 3=complete,
6,bBusy,BOOL,,
7,bDone,BOOL,,
8,bError,BOOL,,
9,bAborted,BOOL,,
10,bWaitSignal,BOOL,,
11,bCycleDone,BOOL,,
12,bPad0,BOOL,,
13,bPad1,BOOL,,
