序号,成员变量名,数据类型,注释,
1,rPulse,REAL,,
2,rSpeed,REAL,,
3,rPulsePerSec,REAL,,
4,rSensorOnDeg,REAL,,
5,rSensorOffDeg,REAL,,
6,rPresetPulse,REAL,,
7,rCurrAngle,REAL,,
8,diScanMs,DINT,,
9,diAdRaw,DINT,,
10,bEnable,BOOL,,
11,bHcValid,BOOL,,
12,bHcError,BOOL,,
13,bPresetReq,BOOL,,
14,bPad0,BOOL,,
15,bPad1,BOOL,,
16,bPad2,BOOL,,
17,bPad3,BOOL,,
