序号,成员变量名,数据类型,注释,
1,Cmd,Stru_DeviceIdentityCmd,,
,Cmd.iErrorCode,INT,,
,Cmd.bLoad,BOOL,,
,Cmd.bApply,BOOL,,
,Cmd.bSuccess,BOOL,,
,Cmd.bError,BOOL,,
,Cmd.bPad0,BOOL,,
,Cmd.bPad1,BOOL,,
2,diDeviceNoRaw,DINT,,
